lat,lon,depth,starttime,energy,duration 
 47.48, -122.88, 20.0, 2013-09-08 10:55:00, 0.0, None 
 47.39, -122.62, 40.0, 2013-09-08 10:57:30, 0.0, None 
 47.455, -122.74, 20.0, 2013-09-08 11:00:00, 0.0, None 
 47.49, -122.99, 20.0, 2013-09-08 11:02:30, 0.0, None 
 47.59, -122.965, 24.0, 2013-09-08 11:10:00, 0.0, None 
 47.53, -123.1, 20.0, 2013-09-08 11:12:30, 0.0, None 
 47.51, -122.77, 22.0, 2013-09-08 11:15:00, 0.0, None 
 47.537, -122.757, 26.2, 2013-09-08 11:20:00, 0.0, None 
 47.585, -122.85799999999999, 33.2, 2013-09-08 11:22:30, 0.0, None 
 47.573, -122.98, 57.2, 2013-09-08 11:25:00, 0.0, None 
 47.59, -122.97, 37.0, 2013-09-08 11:27:30, 0.0, None 
 47.61, -122.77, 32.0, 2013-09-08 11:30:00, 0.0, None 
 47.6, -122.71, 20.0, 2013-09-08 11:32:30, 0.0, None 
 47.575, -122.73, 20.0, 2013-09-08 11:35:00, 0.0, None 
 47.571999999999996, -122.76299999999999, 20.0, 2013-09-08 11:37:30, 0.0, None 
 47.565, -122.9, 38.5, 2013-09-08 11:40:00, 0.0, None 
 47.648, -122.80799999999999, 29.8, 2013-09-08 11:42:30, 0.0, None 
 47.65, -122.787, 42.0, 2013-09-08 11:45:00, 0.0, None 
 47.59, -122.745, 26.0, 2013-09-08 11:47:30, 0.0, None 
 47.575, -122.74, 31.0, 2013-09-08 11:50:00, 0.0, None 
 47.611999999999995, -122.7, 40.2, 2013-09-08 11:52:30, 0.0, None 
 47.38, -122.6, 39.0, 2013-09-08 11:57:30, 0.0, None 
 47.66, -122.75, 36.0, 2013-09-08 12:02:30, 0.0, None 
 47.55, -122.63, 20.0, 2013-09-08 12:05:00, 0.0, None 
 47.585, -122.79, 31.0, 2013-09-08 12:10:00, 0.0, None 
 47.62, -122.75, 30.0, 2013-09-08 12:12:30, 0.0, None 
 47.575, -122.75, 60.0, 2013-09-08 12:15:00, 0.0, None 
 47.42, -122.58, 34.0, 2013-09-08 12:20:00, 0.0, None 
 47.29, -122.725, 26.0, 2013-09-08 12:22:30, 0.0, None 
 47.51, -122.78, 25.5, 2013-09-08 12:27:30, 0.0, None 
 47.677, -122.78, 28.5, 2013-09-08 12:30:00, 0.0, None 
 47.69, -122.75200000000001, 28.2, 2013-09-08 12:32:30, 0.0, None 
 47.648, -122.82, 30.2, 2013-09-08 12:35:00, 0.0, None 
 47.635, -122.72200000000001, 25.5, 2013-09-08 12:37:30, 0.0, None 
 47.635, -122.76, 24.0, 2013-09-08 12:40:00, 0.0, None 
 47.59, -122.83, 31.5, 2013-09-08 12:42:30, 0.0, None 
 47.49, -122.75, 36.5, 2013-09-08 12:45:00, 0.0, None 
 47.505, -122.76, 60.0, 2013-09-08 12:47:30, 0.0, None 
 47.585, -122.8, 20.0, 2013-09-08 12:52:30, 0.0, None 
 47.425, -122.76, 20.0, 2013-09-08 12:55:00, 0.0, None 
 47.461999999999996, -122.655, 60.0, 2013-09-08 12:57:30, 0.0, None 
 47.495, -122.78, 23.5, 2013-09-08 13:02:30, 0.0, None 
 47.08, -122.79, 20.0, 2013-09-08 13:02:30, 0.0, None 
 47.442, -122.68, 24.0, 2013-09-08 13:05:00, 0.0, None 
 47.43, -122.71, 20.0, 2013-09-08 13:17:30, 0.0, None 
 47.61, -123.07, 20.0, 2013-09-08 13:27:30, 0.0, None 
 47.76, -122.83, 60.0, 2013-09-08 13:35:00, 0.0, None 
 47.51, -122.98, 60.0, 2013-09-08 13:37:30, 0.0, None 
 47.395, -122.76, 33.5, 2013-09-08 13:40:00, 0.0, None 
 47.69, -122.79, 26.0, 2013-09-08 13:47:30, 0.0, None 
 47.63, -122.91, 33.0, 2013-09-08 13:50:00, 0.0, None 
 47.61, -122.5, 40.0, 2013-09-08 13:52:30, 0.0, None 
 47.43, -122.81, 20.0, 2013-09-08 13:52:30, 0.0, None 
 47.67, -122.74, 41.0, 2013-09-08 14:02:30, 0.0, None 
 47.61, -122.735, 37.0, 2013-09-08 14:05:00, 0.0, None 
 47.575, -122.775, 43.0, 2013-09-08 14:07:30, 0.0, None 
 47.34, -122.82, 44.5, 2013-09-08 14:15:00, 0.0, None 
 47.685, -122.755, 32.0, 2013-09-08 14:30:00, 0.0, None 
 47.69, -122.75, 39.0, 2013-09-08 14:32:30, 0.0, None 
 47.47, -122.575, 60.0, 2013-09-08 14:57:30, 0.0, None 
 47.31, -122.77, 20.0, 2013-09-08 15:02:30, 0.0, None 
 47.42, -122.79, 40.0, 2013-09-08 15:07:30, 0.0, None 
 47.39, -122.745, 49.5, 2013-09-08 15:10:00, 0.0, None 
 47.325, -122.945, 23.5, 2013-09-08 15:12:30, 0.0, None 
 47.528, -122.915, 34.5, 2013-09-08 15:55:00, 0.0, None 
 47.5, -122.9, 30.0, 2013-09-08 16:00:00, 0.0, None 
 47.47, -123.05, 20.0, 2013-09-08 16:02:30, 0.0, None 
 47.595, -123.09299999999999, 56.5, 2013-09-08 16:05:00, 0.0, None 
 47.59, -122.95, 20.0, 2013-09-08 16:07:30, 0.0, None 
 47.52, -122.96, 20.0, 2013-09-08 16:10:00, 0.0, None 
 47.505, -122.98, 20.0, 2013-09-08 16:12:30, 0.0, None 
 47.39, -122.72, 20.0, 2013-09-08 16:17:30, 0.0, None 
 47.6, -122.9, 31.0, 2013-09-08 16:30:00, 0.0, None 
 47.57, -122.915, 31.0, 2013-09-08 16:32:30, 0.0, None 
 47.67, -122.965, 46.2, 2013-09-08 16:35:00, 0.0, None 
 47.505, -123.042, 20.0, 2013-09-08 16:37:30, 0.0, None 
 47.615, -122.79, 30.0, 2013-09-08 16:42:30, 0.0, None 
 47.56, -122.805, 32.2, 2013-09-08 16:45:00, 0.0, None 
